  teamId  teamName    submissionDate              score
--------  ----------  --------------------------  ------
15894848  Team 3      2026-05-22 03:47:47.553000  0.7628
15793832  Team 4      2026-05-22 18:22:43.346000  0.7817
15882579  Team 20     2026-05-19 07:05:50.876000  0.7942
15817285  Team 2      2026-05-22 17:19:58.006000  0.7955
15937184  Team 5      2026-05-23 07:36:36.120000  0.7991
15785353  Baseline 3  2026-04-29 18:20:59.886000  0.8056
15987412  Team 19     2026-05-23 00:25:14.060000  0.8159
15790916  Team 8      2026-05-22 23:39:40.766000  0.8255
15790981  Team 11     2026-05-23 04:02:21.866000  0.8443
15999916  Team 14     2026-05-19 04:57:53.583000  0.8495
16000203  Team 1      2026-05-22 08:04:19.190000  0.8539
15784171  Baseline 2  2026-04-29 16:17:34.266000  0.8623
16023115  Team18      2026-05-23 08:13:14.556000  0.8640
15968204  Team 12     2026-05-20 13:15:02.266000  0.8727
15995615  Team 13     2026-05-23 09:34:56.646000  0.8780
16008599  Team 7      2026-05-18 14:50:55.386000  0.8784
15876533  Team 15     2026-05-19 07:53:17.843000  0.8820
15994766  Team 6      2026-05-16 14:51:44.273000  0.8973
15940453  Team 17     2026-05-20 18:38:17.766000  0.9029
15791060  Team 10     2026-05-23 02:11:29.040000  0.9067
