  teamId  teamName    submissionDate              score
--------  ----------  --------------------------  ------
15894848  Team 3      2026-05-22 03:47:47.553000  0.7628
15793832  Team 4      2026-05-28 09:49:54.386000  0.7810
15882579  Team 20     2026-05-28 12:06:28.770000  0.7836
15937184  Team 5      2026-05-30 13:57:45.363000  0.7905
16000203  Team 1      2026-05-29 06:41:26.493000  0.7909
15817285  Team 2      2026-05-22 17:19:58.006000  0.7955
15785353  Baseline 3  2026-04-29 18:20:59.886000  0.8056
15987412  Team 19     2026-05-30 04:24:32.416000  0.8120
15790981  Team 11     2026-05-30 11:12:54.673000  0.8188
16011469  Team 21     2026-05-30 10:19:00.756000  0.8232
15790916  Team 8      2026-05-29 13:21:53.673000  0.8255
16011604  Team 9      2026-05-29 11:02:10.313000  0.8303
15999916  Team 14     2026-05-27 02:56:12.333000  0.8345
15940453  Team 17     2026-05-30 04:32:15.416000  0.8356
15968204  Team 12     2026-05-30 10:11:37.643000  0.8404
15784171  Baseline 2  2026-04-29 16:17:34.266000  0.8623
16023115  Team18      2026-05-30 13:58:06.783000  0.8640
15995615  Team 13     2026-05-30 11:47:56.160000  0.8690
15876533  Team 15     2026-05-30 08:02:35.586000  0.8703
16008599  Team 7      2026-05-18 14:50:55.386000  0.8784
